[2025-12-11T10:41:09]
Strategy: greedy_ig
Pairwise: equal
Num agents: 2
Iteration: 0
Error margin: None
Gaussian radius 4 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(25.0, 25.0, 5.4), (-25.0, 25.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
18   	57520.62    	0.260   	0.6875  	[21.7, 16.2]	[front, back]	[2337.2260, 1742.5605]
19   	53827.32    	0.236   	0.7109  	[21.7, 16.2]	[right, back]	[2234.8028, 1754.9696]
20   	49661.84    	0.208   	0.7422  	[21.7, 16.2]	[right, back]	[2209.5884, 1836.9985]
21   	46016.81    	0.183   	0.7734  	[21.7, 16.2]	[right, back]	[2088.3891, 2132.9353]
22   	42943.48    	0.160   	0.7969  	[21.7, 16.2]	[right, back]	[2100.9368, 2452.8066]
23   	39672.22    	0.137   	0.8203  	[21.7, 16.2]	[right, back]	[2109.9975, 2707.2721]
24   	36337.89    	0.118   	0.8438  	[21.7, 16.2]	[right, back]	[2112.9383, 2853.5904]
25   	32796.22    	0.090   	0.8672  	[21.7, 16.2]	[right, back]	[2154.2494, 2875.4456]
26   	28834.92    	0.076   	0.8906  	[21.7, 16.2]	[right, back]	[2220.6898, 2676.5577]
27   	24424.01    	0.063   	0.9141  	[21.7, 16.2]	[back, back]	[2049.3120, 2398.5159]
28   	19261.30    	0.052   	0.9453  	[21.7, 16.2]	[back, left]	[2022.1597, 1949.4855]
29   	14668.97    	0.032   	0.9766  	[21.7, 16.2]	[back, left]	[1938.6687, 1840.0017]
30   	10797.97    	0.017   	1.0000  	[21.7, 16.2]	[back, left]	[2065.6685, 1811.3791]
31   	9049.54     	0.011   	1.0000  	[21.7, 16.2]	[back, left]	[2304.1325, 1834.8238]
32   	7617.51     	0.008   	1.0000  	[21.7, 16.2]	[back, left]	[2595.9775, 1829.0333]
33   	6515.03     	0.006   	1.0000  	[21.7, 16.2]	[back, left]	[2752.1408, 1881.7709]
34   	5687.22     	0.005   	1.0000  	[21.7, 16.2]	[back, left]	[2801.1881, 1931.5204]
35   	4771.91     	0.004   	1.0000  	[21.7, 16.2]	[hover, left]	[1976.5193, 1974.6635]
36   	4215.95     	0.003   	1.0000  	[21.7, 16.2]	[hover, left]	[1338.6685, 2041.3922]
37   	3847.02     	0.002   	1.0000  	[21.7, 16.2]	[left, left]	[836.6582, 2151.3787]
38   	3650.50     	0.002   	1.0000  	[21.7, 16.2]	[right, front]	[493.2250, 1928.1393]
39   	3442.83     	0.002   	1.0000  	[21.7, 16.2]	[left, front]	[312.0205, 1847.8549]
40   	3325.29     	0.001   	1.0000  	[21.7, 16.2]	[left, front]	[209.6584, 1843.3751]
41   	3248.94     	0.001   	1.0000  	[21.7, 16.2]	[left, front]	[138.0526, 1826.7613]
42   	3196.09     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[84.5437, 1324.9082]
43   	3165.95     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[59.8627, 1167.6885]
44   	3137.06     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[46.3476, 1147.9359]
45   	3121.04     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[38.4889, 1139.1112]
46   	3112.80     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[36.2586, 704.3289]
47   	3102.18     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[34.8541, 385.6607]
48   	3086.77     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[37.7239, 234.7934]
49   	3071.64     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[46.0957, 211.1908]
50   	3053.10     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[72.5780, 226.9824]
51   	3016.67     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[100.9213, 243.4706]
52   	2981.39     	0.001   	1.0000  	[21.7, 16.2]	[front, front]	[160.0897, 197.1276]
53   	2938.75     	0.001   	1.0000  	[21.7, 16.2]	[front, front]	[244.7151, 162.8582]
54   	2899.60     	0.001   	1.0000  	[21.7, 16.2]	[front, front]	[378.8768, 138.5213]
55   	2839.91     	0.001   	1.0000  	[21.7, 16.2]	[hover, front]	[268.4160, 113.1432]
56   	2757.72     	0.001   	1.0000  	[21.7, 16.2]	[hover, front]	[175.2196, 118.4353]
57   	2647.43     	0.001   	1.0000  	[21.7, 16.2]	[hover, front]	[117.6980, 211.4472]
58   	2315.75     	0.001   	1.0000  	[21.7, 16.2]	[hover, hover]	[81.0483, 97.5556]
59   	2206.80     	0.000   	1.0000  	[21.7, 16.2]	[hover, hover]	[58.4127, 51.5216]
60   	2150.30     	0.000   	1.0000  	[21.7, 16.2]	[hover, hover]	[45.3398, 34.2250]
61   	2120.99     	0.000   	1.0000  	[21.7, 16.2]	[hover, left]	[37.2711, 29.4701]
62   	2113.91     	0.000   	1.0000  	[21.7, 16.2]	[hover, up]	[32.1632, 34.1033]
63   	2111.83     	0.000   	1.0000  	[21.7, 21.7]	[right, back]	[30.3714, 40.2246]
64   	2103.17     	0.000   	1.0000  	[21.7, 21.7]	[right, back]	[32.1920, 47.1667]
65   	2098.29     	0.000   	1.0000  	[21.7, 21.7]	[right, back]	[39.3628, 51.8268]
66   	2098.24     	0.000   	1.0000  	[21.7, 21.7]	[right, left]	[52.9719, 45.4936]
67   	2095.73     	0.000   	1.0000  	[21.7, 21.7]	[right, left]	[81.4088, 42.6026]
68   	2096.26     	0.000   	1.0000  	[21.7, 21.7]	[right, left]	[138.2510, 46.1317]
69   	2091.03     	0.000   	1.0000  	[21.7, 21.7]	[right, left]	[235.0648, 47.3291]
70   	2086.48     	0.000   	1.0000  	[21.7, 21.7]	[right, left]	[378.8841, 65.0783]
71   	2081.07     	0.000   	1.0000  	[21.7, 21.7]	[hover, left]	[233.3280, 96.3458]
72   	2073.03     	0.000   	1.0000  	[21.7, 21.7]	[hover, left]	[135.3596, 148.0728]
73   	2071.60     	0.000   	1.0000  	[21.7, 21.7]	[hover, left]	[82.1735, 246.0409]
74   	2070.89     	0.000   	1.0000  	[21.7, 21.7]	[hover, front]	[49.9590, 162.4605]
75   	2064.09     	0.000   	1.0000  	[21.7, 21.7]	[hover, front]	[36.8334, 113.5902]
76   	2062.83     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[31.1169, 76.2905]
77   	2061.21     	0.000   	1.0000  	[21.7, 21.7]	[back, hover]	[28.9307, 55.9681]
78   	2061.23     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[29.9576, 45.2563]
79   	2061.29     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[31.4397, 39.3661]
80   	2058.94     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[33.3166, 36.2764]
81   	2058.61     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[40.1775, 33.9607]
82   	2053.20     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[49.9510, 40.0782]
83   	2056.97     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[65.5272, 57.9684]
84   	2020.36     	0.000   	1.0000  	[21.7, 21.7]	[back, back]	[82.8635, 91.4369]
85   	1956.33     	0.000   	1.0000  	[21.7, 21.7]	[hover, back]	[56.0924, 175.7359]
86   	1920.24     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[43.0438, 114.9244]
87   	1897.78     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[36.8041, 78.3931]
88   	1883.46     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[32.7083, 55.3839]
89   	1878.04     	0.000   	1.0000  	[21.7, 21.7]	[left, hover]	[31.2231, 40.6486]
90   	1876.76     	0.000   	1.0000  	[21.7, 21.7]	[right, hover]	[30.6988, 33.9283]
91   	1878.94     	0.000   	1.0000  	[21.7, 21.7]	[left, hover]	[29.7710, 30.1252]
92   	1872.76     	0.000   	1.0000  	[21.7, 21.7]	[right, right]	[29.2814, 28.4507]
93   	1872.70     	0.000   	1.0000  	[21.7, 21.7]	[left, right]	[28.7186, 28.0806]
94   	1871.55     	0.000   	1.0000  	[21.7, 21.7]	[right, right]	[27.8907, 27.8745]
95   	1871.32     	0.000   	1.0000  	[21.7, 21.7]	[left, right]	[27.8018, 29.8472]
96   	1871.17     	0.000   	1.0000  	[21.7, 21.7]	[hover, right]	[27.5068, 34.0664]
97   	1866.35     	0.000   	1.0000  	[21.7, 21.7]	[hover, right]	[26.9827, 48.4718]
98   	1863.80     	0.000   	1.0000  	[21.7, 21.7]	[right, up]	[26.8799, 50.2892]
99   	1863.48     	0.000   	1.0000  	[21.7, 27.1]	[left, right]	[26.8467, 97.6106]
[2025-12-11T10:46:29]
Strategy: greedy_ig
Pairwise: adaptive
Num agents: 2
Iteration: 12
Error margin: None
Gaussian radius 4 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(-25.0, -25.0, 5.4), (-25.0, 25.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
------------------------------------------------------------------------------------------------------------------------
0    	158843.99   	0.435   	0.0078  	[5.4, 5.4]	[up, up]	[821.9019, 827.6221]
1    	155950.24   	0.439   	0.0312  	[10.8, 10.8]	[up, up]	[1055.6788, 1040.6745]
2    	152588.71   	0.449   	0.0703  	[16.2, 16.2]	[front, back]	[1228.0775, 1219.4512]
3    	149898.24   	0.450   	0.0938  	[16.2, 16.2]	[right, right]	[1519.6647, 1507.7880]
4    	146069.50   	0.451   	0.1250  	[16.2, 16.2]	[front, right]	[1668.6465, 1702.6879]
5    	141991.82   	0.453   	0.1562  	[16.2, 16.2]	[right, back]	[1918.6788, 2016.4307]
6    	136692.44   	0.451   	0.1953  	[16.2, 16.2]	[front, back]	[2055.7826, 2108.7422]
7    	130238.88   	0.428   	0.2344  	[16.2, 16.2]	[right, right]	[2057.5399, 2207.8274]
8    	123129.53   	0.427   	0.2812  	[16.2, 16.2]	[right, right]	[1999.8315, 2138.0033]
9    	116831.04   	0.430   	0.3281  	[16.2, 16.2]	[up, right]	[2050.9625, 2305.3757]
10   	109347.16   	0.409   	0.4062  	[21.7, 16.2]	[front, right]	[2248.3221, 2464.2062]
11   	101839.88   	0.390   	0.4609  	[21.7, 16.2]	[front, right]	[2236.5629, 2486.5275]
12   	93757.11    	0.362   	0.5156  	[21.7, 16.2]	[front, right]	[2224.9817, 2330.6584]
13   	85076.87    	0.337   	0.5703  	[21.7, 16.2]	[front, right]	[2126.1610, 2109.5291]
14   	78493.92    	0.316   	0.5938  	[21.7, 16.2]	[front, right]	[2127.4334, 1944.0189]
15   	72248.88    	0.297   	0.6172  	[21.7, 16.2]	[front, right]	[2153.8815, 1896.6390]
16   	66741.33    	0.283   	0.6406  	[21.7, 16.2]	[front, right]	[2227.0581, 1890.3938]
17   	61809.80    	0.270   	0.6641  	[21.7, 16.2]	[front, right]	[2248.9478, 1882.4780]
18   	57520.62    	0.260   	0.6875  	[21.7, 16.2]	[front, back]	[2337.2260, 1742.5605]
19   	53827.32    	0.236   	0.7109  	[21.7, 16.2]	[right, back]	[2234.8028, 1754.9696]
20   	49661.84    	0.208   	0.7422  	[21.7, 16.2]	[right, back]	[2209.5884, 1836.9985]
21   	46016.81    	0.183   	0.7734  	[21.7, 16.2]	[right, back]	[2088.3891, 2132.9353]
22   	42943.48    	0.160   	0.7969  	[21.7, 16.2]	[right, back]	[2100.9368, 2452.8066]
23   	39672.22    	0.137   	0.8203  	[21.7, 16.2]	[right, back]	[2109.9975, 2707.2721]
24   	36337.89    	0.118   	0.8438  	[21.7, 16.2]	[right, back]	[2112.9383, 2853.5904]
25   	32796.22    	0.090   	0.8672  	[21.7, 16.2]	[right, back]	[2154.2494, 2875.4456]
26   	28834.92    	0.076   	0.8906  	[21.7, 16.2]	[right, back]	[2220.6898, 2676.5577]
27   	24424.01    	0.063   	0.9141  	[21.7, 16.2]	[back, back]	[2049.3120, 2398.5159]
28   	19261.30    	0.052   	0.9453  	[21.7, 16.2]	[back, left]	[2022.1597, 1949.4855]
29   	14668.97    	0.032   	0.9766  	[21.7, 16.2]	[back, left]	[1938.6687, 1840.0017]
30   	10797.97    	0.017   	1.0000  	[21.7, 16.2]	[back, left]	[2065.6685, 1811.3791]
31   	9049.54     	0.011   	1.0000  	[21.7, 16.2]	[back, left]	[2304.1325, 1834.8238]
32   	7617.51     	0.008   	1.0000  	[21.7, 16.2]	[back, left]	[2595.9775, 1829.0333]
33   	6515.03     	0.006   	1.0000  	[21.7, 16.2]	[back, left]	[2752.1408, 1881.7709]
34   	5687.22     	0.005   	1.0000  	[21.7, 16.2]	[back, left]	[2801.1881, 1931.5204]
35   	4771.91     	0.004   	1.0000  	[21.7, 16.2]	[hover, left]	[1976.5193, 1974.6635]
36   	4215.95     	0.003   	1.0000  	[21.7, 16.2]	[hover, left]	[1338.6685, 2041.3922]
37   	3847.02     	0.002   	1.0000  	[21.7, 16.2]	[left, left]	[836.6582, 2151.3787]
38   	3650.50     	0.002   	1.0000  	[21.7, 16.2]	[right, front]	[493.2250, 1928.1393]
39   	3442.83     	0.002   	1.0000  	[21.7, 16.2]	[left, front]	[312.0205, 1847.8549]
40   	3325.29     	0.001   	1.0000  	[21.7, 16.2]	[left, front]	[209.6584, 1843.3751]
41   	3248.94     	0.001   	1.0000  	[21.7, 16.2]	[left, front]	[138.0526, 1826.7613]
42   	3196.09     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[84.5437, 1324.9082]
43   	3165.95     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[59.8627, 1167.6885]
44   	3137.06     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[46.3476, 1147.9359]
45   	3121.04     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[38.4889, 1139.1112]
46   	3112.80     	0.001   	1.0000  	[21.7, 16.2]	[left, right]	[36.2586, 704.3289]
47   	3102.18     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[34.8541, 385.6607]
48   	3086.77     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[37.7239, 234.7934]
49   	3071.64     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[46.0957, 211.1908]
50   	3053.10     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[72.5780, 226.9824]
51   	3016.67     	0.001   	1.0000  	[21.7, 16.2]	[front, right]	[100.9213, 243.4706]
52   	2981.39     	0.001   	1.0000  	[21.7, 16.2]	[front, front]	[160.0897, 197.1276]
53   	2938.75     	0.001   	1.0000  	[21.7, 16.2]	[front, front]	[244.7151, 162.8582]
54   	2899.60     	0.001   	1.0000  	[21.7, 16.2]	[front, front]	[378.8768, 138.5213]
55   	2839.91     	0.001   	1.0000  	[21.7, 16.2]	[hover, front]	[268.4160, 113.1432]
56   	2757.72     	0.001   	1.0000  	[21.7, 16.2]	[hover, front]	[175.2196, 118.4353]
57   	2647.43     	0.001   	1.0000  	[21.7, 16.2]	[hover, front]	[117.6980, 211.4472]
58   	2315.75     	0.001   	1.0000  	[21.7, 16.2]	[hover, hover]	[81.0483, 97.5556]
59   	2206.80     	0.000   	1.0000  	[21.7, 16.2]	[hover, hover]	[58.4127, 51.5216]
60   	2150.30     	0.000   	1.0000  	[21.7, 16.2]	[hover, hover]	[45.3398, 34.2250]
61   	2120.99     	0.000   	1.0000  	[21.7, 16.2]	[hover, left]	[37.2711, 29.4701]
62   	2113.91     	0.000   	1.0000  	[21.7, 16.2]	[hover, up]	[32.1632, 34.1033]
63   	2111.83     	0.000   	1.0000  	[21.7, 21.7]	[right, back]	[30.3714, 40.2246]
64   	2103.17     	0.000   	1.0000  	[21.7, 21.7]	[right, back]	[32.1920, 47.1667]
